일련번호,검색량년월,출처ID,대표키워드명,검색어명,검색량값,출처분류명
32047,Mar-23,892,목포항구축제,목포항구축제,310,문화축제
32048,Mar-23,174,무창포신비의바닷길축제,무창포신비의바닷길축제,130,문화축제
32049,Mar-23,579,문경사과축제,문경사과축제,720,문화축제
32050,Mar-23,577,문경약돌한우축제,문경약돌한우축제,50,문화축제
32051,Mar-23,578,문경오미자축제,문경오미자축제,310,문화축제
32052,Mar-23,576,문경찻사발축제,문경찻사발축제,4440,문화축제
32053,Mar-23,1054,민둥산억새꽃축제,민둥산억새꽃축제,120,문화축제
32054,Mar-23,128,밀양아리랑대축제,밀양아리랑대축제,1580,문화축제
32055,Mar-23,432,바다로 세계로,바다로세계로,110,문화축제
32056,Mar-23,496,반딧불축제,반딧불축제,1180,문화축제
32057,Mar-23,856,방선문축제,방선문축제,60,문화축제
32058,Mar-23,709,방아다리벗꽃축제,방아다리벗꽃축제,10,문화축제
32059,Mar-23,1033,배꼽축제,배꼽축제,470,문화축제
32060,Mar-23,754,배내골고로쇠축제,배내골고로쇠축제,60,문화축제
32061,Mar-23,756,배내골사과축제,배내골사과축제,13,문화축제
32062,Mar-23,1125,백운산국사봉철쭉축제,백운산국사봉철쭉축제,30,문화축제
32063,Mar-23,38,백제문화제,백제문화제,2100,문화축제
32064,Mar-23,522,벌교꼬막축제,벌교꼬막축제,350,문화축제
32065,Mar-23,145,벌터산 축제,벌터산축제,110,문화축제
32066,Mar-23,640,법성포단오제,법성포단오제,140,문화축제
32067,Mar-23,173,보령머드축제,보령머드축제,7940,문화축제
32068,Mar-23,877,보목자리돔축제,보목자리돔축제,40,문화축제
32069,Mar-23,1018,보물섬남해 설천참굴축제,보물섬남해설천참굴축제,10,문화축제
32070,Mar-23,593,보석대축제,보석대축제,20,문화축제
32071,Mar-23,519,보성다향대축제,보성다향대축제,600,문화축제
32072,Mar-23,523,보성벚꽃축제,보성벚꽃축제,1780,문화축제
32073,Mar-23,521,보성차밭 빛축제,보성차밭빛축제,50,문화축제
32074,Mar-23,1116,보은대추축제,보은대추축제,620,문화축제
32075,Mar-23,914,봉산미술제,봉산미술제,19,문화축제
32076,Mar-23,732,봉화송이축제,봉화송이축제,150,문화축제
32077,Mar-23,731,봉화은어축제,봉화은어축제,840,문화축제
32078,Mar-23,1108,부산고등어축제,부산고등어축제,80,문화축제
32079,Mar-23,743,부산국제록페스티벌,부산국제록페스티벌,330,문화축제
32080,Mar-23,742,부산바다축제,부산바다축제,420,문화축제
32081,Mar-23,744,부산불꽃축제,부산불꽃축제,24830,문화축제
32082,Mar-23,724,부산자갈치축제,부산자갈치축제,560,문화축제
32083,Mar-23,747,부산항축제,부산항축제,590,문화축제
32084,Mar-23,525,부안마실축제,부안마실축제,5190,문화축제
32085,Mar-23,37,부여서동연꽃축제,부여서동연꽃축제,500,문화축제
32086,Mar-23,450,부천국제만화축제,부천국제만화축제,580,문화축제
32087,Mar-23,906,부천국제애니메이션페스티벌,부천국제애니메이션페스티벌,370,문화축제
32088,Mar-23,901,부천국제판타스틱영화제,부천국제판타스틱영화제,1470,문화축제
32089,Mar-23,904,부천세계비보이대회,부천세계비보이대회,28,문화축제
32090,Mar-23,641,불갑산상사화축제,불갑산상사화축제,70,문화축제
32091,Mar-23,75,블랙뮤직페스티벌,블랙뮤직페스티벌,60,문화축제
32092,Mar-23,197,비단고을산꽃축제,비단고을산꽃축제,11690,문화축제
32093,Mar-23,108,사선문화제,사선문화제,62,문화축제
32094,Mar-23,674,산지천 축제,산지천축제,19,문화축제
32095,Mar-23,272,산청황매산철쭉제,산청황매산철쭉제,200,문화축제
32096,Mar-23,110,산타축제,산타축제,17,문화축제
32097,Mar-23,181,삼길포우럭축제,삼길포우럭축제,200,문화축제
32166,Mar-23,456,여주오곡나루축제,여주오곡나루축제,230,문화축제
32098,Mar-23,393,삼척동해왕이사부독도축제,삼척동해왕이사부독도축제,12,문화축제
32099,Mar-23,389,삼척맹방유채꽃축제,삼척맹방유채꽃축제,8260,문화축제
32100,Mar-23,391,삼척장미축제,삼척장미축제,1650,문화축제
32101,Mar-23,392,삼척정월대보름축제,삼척정월대보름축제,20,문화축제
32102,Mar-23,390,삼척황영조국제마라톤대회,삼척황영조국제마라톤대회,350,문화축제
32103,Mar-23,559,삽교호조개구이 축제,삽교호조개구이축제,250,문화축제
